no,short_desc,unit,qty,unit_price,total,vendor_quote,note,full_desc
壹,假設工程,式,,,,,,假設工程
壹.一,施工告示牌,座,1.0,,,,,施工告示牌
壹.二,鋼管鷹架(含護網等相關設施)租借,M2,100.0,,,,,鋼管鷹架(含護網等相關設施)租借
壹.三,施工範圍既有各項公共設施、設備及連外,式,1.0,,,,,施工範圍既有各項公共設施、設備及連外 管線，檢查、引接、復原及管線損壞修護 費(含施工樓層及下層天花板)。
壹.四,施工安全防護(矽酸鈣板隔間牆至頂)及雜,式,1.0,,,,,施工安全防護(矽酸鈣板隔間牆至頂)及雜 項設備隔音防塵費(含相關管線截斷控制)
壹.五,臨時拉設管路、電源、租借設備等臨時設,式,1.0,,,,,臨時拉設管路、電源、租借設備等臨時設 施
壹.六,執行協調、施工 / 竣工 - 圖面(全開藍晒,式,1.0,,,,,執行協調、施工 / 竣工 - 圖面(全開藍晒 圖)及資料提供、教育訓練手冊提供及教育 訓練 假設工程 小計
貳.一,搬遷、拆除暨修補、運棄工程,式,,,,,,搬遷、拆除暨修補、運棄工程
貳.一.1,原有可移動設備搬遷及竣工時安裝及復原,式,1.0,,,,,原有可移動設備搬遷及竣工時安裝及復原
貳.一.2,拆除範圍既有隔間牆、門窗、設備裝修材,式,1.0,,,,,拆除範圍既有隔間牆、門窗、設備裝修材 及廢棄管線拆除(含止水封管、外牆風管) 、既有空調機房混凝土基座敲除
貳.一.3,原有天花板拆除,式,1.0,,,,,原有天花板拆除
貳.一.4,原有牆面裝修材、磁磚(包含柱子磁磚)打,式,1.0,,,,,原有牆面裝修材、磁磚(包含柱子磁磚)打 除後1:3水泥砂漿粉刷整平
貳.一.5,原有地坪磁磚打除後1:3水泥砂漿粉刷整平,式,1.0,,,,,原有地坪磁磚打除後1:3水泥砂漿粉刷整平
貳.一.6,原有窗戶及窗框滲漏水修復,式,1.0,,,,,原有窗戶及窗框滲漏水修復
